STATISTIC,STATISTIC Label,TLIST(A1),Year,C02199V02655,Sex,C02537V03072,Nationality,UNIT,VALUE
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,IE,Irish,Thousand,18.9
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,GB01,UK (1),Thousand,9.9
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,12.7
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,49.9
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,ON17,Other nationalities(17),Thousand,16.4
PEA17,Estimated Immigration (Persons in April),2006,2006,-,Both sexes,-,All nationalities,Thousand,107.8
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,IE,Irish,Thousand,9.5
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,GB01,UK (1),Thousand,5.7
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6.4
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,30.7
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,ON17,Other nationalities(17),Thousand,8
PEA17,Estimated Immigration (Persons in April),2006,2006,1,Male,-,All nationalities,Thousand,60.3
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,IE,Irish,Thousand,9.4
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,GB01,UK (1),Thousand,4.2
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,6.2
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,19.2
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,ON17,Other nationalities(17),Thousand,8.5
PEA17,Estimated Immigration (Persons in April),2006,2006,2,Female,-,All nationalities,Thousand,47.5
PEA17,Estimated Immigration (Persons in April),2007,2007,-,Both sexes,IE,Irish,Thousand,30.7
PEA17,Estimated Immigration (Persons in April),2007,2007,-,Both sexes,GB01,UK (1),Thousand,4.3
PEA17,Estimated Immigration (Persons in April),2007,2007,-,Both sexes,E1420XIE,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,11.8
PEA17,Estimated Immigration (Persons in April),2007,2007,-,Both sexes,E15E2720,EU15 to EU27 (accession countries joined post 2004),Thousand,85.3
PEA17,Estimated Immigration (Persons in April),2007,2007,-,Both sexes,ON17,Other nationalities(17),Thousand,19
