rent_serial_id,homeless_region,homeless_male_adults,homeless_female_adults,immigrants_nationality,immigrants_gender,immigration_year,rent_location,rent_cost,homeless_adults,latitude,longitude
1,Dublin,2773,1827,Irish,Both sexes,2020,Carlow Town,915.37,4600,45.2128503,-77.6367828
2,Mid-East,186,115,UK (1),Both sexes,2020,"Graiguecullen, Carlow",907.25,301,52.8367702,-6.9372423
3,Midlands,58,51,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Both sexes,2020,"Tullow, Carlow",840.54,109,52.803146,-6.7377301
4,Mid-West,208,133,EU15 to EU27 (accession countries joined post 2004),Both sexes,2020,Cavan,664.88,341,48.6721731,-3.3457423
5,North-East,77,51,Other nationalities(17),Both sexes,2020,Cavan Town,691.64,128,54.0202036,-7.5361128
6,North-West,45,22,All nationalities,Both sexes,2020,"Bailieborough, Cavan",613.4,67,53.91667,-6.96667
7,South-East,160,62,Irish,Male,2020,"Ballyconnell, Cavan",592.51,222,54.1203534,-7.5794427
8,South-West,358,220,UK (1),Male,2020,"Ballyjamesduff, Cavan",667.2,578,53.8638208,-7.2045904
9,West,202,149,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Male,2020,"Belturbet, Cavan",584.85,351,54.1036197,-7.4415303
10,Dublin,2766,1784,EU15 to EU27 (accession countries joined post 2004),Male,2020,"Cootehill, Cavan",564.44,4550,54.0725,-7.08194
11,Mid-East,191,121,Other nationalities(17),Male,2020,"Kingscourt, Cavan",741.9,312,53.9098039,-6.8138657
12,Midlands,62,52,All nationalities,Male,2020,"Virginia, Cavan",802.72,114,53.8350227,-7.0830739
13,Mid-West,213,134,Irish,Female,2020,Clare,763.37,347,52.8572575,-8.9374359
14,North-East,71,53,UK (1),Female,2020,"Ennis, Clare",774.84,124,52.8393222,-8.9752567
15,North-West,45,18,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Female,2020,"Killaloe, Clare",852.17,63,52.8067603,-8.4405427
16,South-East,161,56,EU15 to EU27 (accession countries joined post 2004),Female,2020,"Kilrush, Clare",557.57,217,52.6397222,-9.4833283
17,South-West,362,210,Other nationalities(17),Female,2020,"Newmarket-On-Fergus, Clare",842.07,572,52.755527,-8.910028
18,West,187,128,All nationalities,Female,2020,"Shannon, Clare",811.26,315,52.7104544,-8.8788366
19,Dublin,2773,1742,Irish,Both sexes,2021,"Sixmilebridge, Clare",841.07,4515,52.741389,-8.774167
20,Mid-East,191,126,UK (1),Both sexes,2021,Cork,1134.61,317,51.897077,-8.4654674
21,Midlands,53,44,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Both sexes,2021,Cork City,1287.06,97,40.7400377,-74.0308337
22,Mid-West,199,132,EU15 to EU27 (accession countries joined post 2004),Both sexes,2021,"Ballincollig, Cork",1252.79,331,51.8883458,-8.5893917
23,North-East,64,48,Other nationalities(17),Both sexes,2021,"Ballintemple, Cork",1333.84,112,51.8947981,-8.4354471
24,North-West,50,19,All nationalities,Both sexes,2021,"Bandon, Cork",931.9,69,51.7356023,-8.9328923
25,South-East,162,56,Irish,Male,2021,"Bantry, Cork",692.73,218,51.6797696,-9.4523603
26,South-West,345,205,UK (1),Male,2021,"Bishopstown, Cork",1364.49,550,51.8796067,-8.5166631
27,West,190,153,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Male,2021,"Blackpool, Cork",1054.96,343,51.9103708,-8.4731089
28,Dublin,2652,1614,EU15 to EU27 (accession countries joined post 2004),Male,2021,"Blackrock, Cork",1347.67,4266,51.8968637,-8.4138607
29,Mid-East,211,124,Other nationalities(17),Male,2021,"Blarney, Cork",1161.94,335,51.9260842,-8.5718485
30,Midlands,58,40,All nationalities,Male,2021,"Carrigaline, Cork",1188.14,98,51.8280153,-8.3784581
31,Mid-West,211,119,Irish,Female,2021,"Carrigtwohill, Cork",1110.43,330,51.9163256,-8.2632643
32,North-East,64,46,UK (1),Female,2021,"Castlemartyr, Cork",881.71,110,51.9081107,-8.0684224
33,North-West,51,20,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Female,2021,"Charleville, Cork",800.75,71,52.3472276,-8.6535787
34,South-East,160,58,EU15 to EU27 (accession countries joined post 2004),Female,2021,"Clonakilty, Cork",852.66,218,51.623421,-8.8824034
35,South-West,324,187,Other nationalities(17),Female,2021,"Cloyne, Cork",1002.08,511,51.86278,-8.12444
36,West,184,139,All nationalities,Female,2021,"Cobh, Cork",963.51,323,51.8487213,-8.3003801
37,Dublin,2641,1523,Irish,Both sexes,2022,"Crosshaven, Cork",1085.96,4164,51.8013483,-8.2914022
38,Mid-East,207,111,UK (1),Both sexes,2022,"Douglas, Cork",1294.26,318,51.8775545,-8.4358941
39,Midlands,57,35,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Both sexes,2022,"Dunmanway, Cork",781.78,92,51.717115,-9.1099576
40,Mid-West,195,105,EU15 to EU27 (accession countries joined post 2004),Both sexes,2022,"Fermoy, Cork",875.68,300,52.1291752,-8.2664482
41,North-East,75,44,Other nationalities(17),Both sexes,2022,"Glanmire, Cork",1206.62,119,51.9192272,-8.3959789
