homeless_id	year	month	region	total_adults	male_adults	female_adults
64300ab5c1f531f75d1b569e	2020	January	Dublin	4600	2773	1827
64300ab5c1f531f75d1b569f	2020	January	Mid-East	301	186	115
64300ab5c1f531f75d1b56a0	2020	January	Midlands	109	58	51
64300ab5c1f531f75d1b56a1	2020	January	Mid-West	341	208	133
64300ab5c1f531f75d1b56a2	2020	January	North-East	128	77	51
64300ab5c1f531f75d1b56a3	2020	January	North-West	67	45	22
64300ab5c1f531f75d1b56a4	2020	January	South-East	222	160	62
64300ab5c1f531f75d1b56a5	2020	January	South-West	578	358	220
64300ab5c1f531f75d1b56a6	2020	January	West	351	202	149
64300ab5c1f531f75d1b56a7	2020	February	Dublin	4550	2766	1784
64300ab5c1f531f75d1b56a8	2020	February	Mid-East	312	191	121
64300ab5c1f531f75d1b56a9	2020	February	Midlands	114	62	52
64300ab5c1f531f75d1b56aa	2020	February	Mid-West	347	213	134
64300ab5c1f531f75d1b56ab	2020	February	North-East	124	71	53
64300ab5c1f531f75d1b56ac	2020	February	North-West	63	45	18
64300ab5c1f531f75d1b56ad	2020	February	South-East	217	161	56
64300ab5c1f531f75d1b56ae	2020	February	South-West	572	362	210
64300ab5c1f531f75d1b56af	2020	February	West	315	187	128
64300ab5c1f531f75d1b56b0	2020	March	Dublin	4515	2773	1742
64300ab5c1f531f75d1b56b1	2020	March	Mid-East	317	191	126
64300ab5c1f531f75d1b56b2	2020	March	Midlands	97	53	44
64300ab5c1f531f75d1b56b3	2020	March	Mid-West	331	199	132
64300ab5c1f531f75d1b56b4	2020	March	North-East	112	64	48
64300ab5c1f531f75d1b56b5	2020	March	North-West	69	50	19
64300ab5c1f531f75d1b56b6	2020	March	South-East	218	162	56
64300ab5c1f531f75d1b56b7	2020	March	South-West	550	345	205
64300ab5c1f531f75d1b56b8	2020	March	West	343	190	153
64300ab5c1f531f75d1b56b9	2020	April	Dublin	4266	2652	1614
64300ab5c1f531f75d1b56ba	2020	April	Mid-East	335	211	124
64300ab5c1f531f75d1b56bb	2020	April	Midlands	98	58	40
64300ab5c1f531f75d1b56bc	2020	April	Mid-West	330	211	119
64300ab5c1f531f75d1b56bd	2020	April	North-East	110	64	46
64300ab5c1f531f75d1b56be	2020	April	North-West	71	51	20
64300ab5c1f531f75d1b56bf	2020	April	South-East	218	160	58
64300ab5c1f531f75d1b56c0	2020	April	South-West	511	324	187
64300ab5c1f531f75d1b56c1	2020	April	West	323	184	139
64300ab5c1f531f75d1b56c2	2020	May	Dublin	4164	2641	1523
64300ab5c1f531f75d1b56c3	2020	May	Mid-East	318	207	111
