rent_id	year	number_of_bedrooms	property_type	location	cost
64300ab6c1f531f75d1b5741	2020	All bedrooms	All property types	Carlow Town	915.37
64300ab6c1f531f75d1b5742	2020	All bedrooms	All property types	Graiguecullen, Carlow	907.25
64300ab6c1f531f75d1b5743	2020	All bedrooms	All property types	Tullow, Carlow	840.54
64300ab6c1f531f75d1b5744	2020	All bedrooms	All property types	Cavan	664.88
64300ab6c1f531f75d1b5745	2020	All bedrooms	All property types	Cavan Town	691.64
64300ab6c1f531f75d1b5746	2020	All bedrooms	All property types	Bailieborough, Cavan	613.4
64300ab6c1f531f75d1b5747	2020	All bedrooms	All property types	Ballyconnell, Cavan	592.51
64300ab6c1f531f75d1b5748	2020	All bedrooms	All property types	Ballyjamesduff, Cavan	667.2
64300ab6c1f531f75d1b5749	2020	All bedrooms	All property types	Belturbet, Cavan	584.85
64300ab6c1f531f75d1b574a	2020	All bedrooms	All property types	Cootehill, Cavan	564.44
64300ab6c1f531f75d1b574b	2020	All bedrooms	All property types	Kingscourt, Cavan	741.9
64300ab6c1f531f75d1b574c	2020	All bedrooms	All property types	Virginia, Cavan	802.72
64300ab6c1f531f75d1b574d	2020	All bedrooms	All property types	Clare	763.37
64300ab6c1f531f75d1b574e	2020	All bedrooms	All property types	Ennis, Clare	774.84
64300ab6c1f531f75d1b574f	2020	All bedrooms	All property types	Killaloe, Clare	852.17
64300ab6c1f531f75d1b5750	2020	All bedrooms	All property types	Kilrush, Clare	557.57
64300ab6c1f531f75d1b5751	2020	All bedrooms	All property types	Newmarket-On-Fergus, Clare	842.07
64300ab6c1f531f75d1b5752	2020	All bedrooms	All property types	Shannon, Clare	811.26
64300ab6c1f531f75d1b5753	2020	All bedrooms	All property types	Sixmilebridge, Clare	841.07
64300ab6c1f531f75d1b5754	2020	All bedrooms	All property types	Cork	1134.61
64300ab6c1f531f75d1b5755	2020	All bedrooms	All property types	Cork City	1287.06
64300ab6c1f531f75d1b5756	2020	All bedrooms	All property types	Ballincollig, Cork	1252.79
64300ab6c1f531f75d1b5757	2020	All bedrooms	All property types	Ballintemple, Cork	1333.84
64300ab6c1f531f75d1b5758	2020	All bedrooms	All property types	Bandon, Cork	931.9
